iter,f0val,fvirg,area
9.000000000000000000e+01,9.410758349399513634e+01,2.574888036372951494e-01,2.999664391434607325e+01
9.100000000000000000e+01,9.410462632570798291e+01,2.573135357998078687e-01,2.999703104793401565e+01
9.200000000000000000e+01,9.410209697082503055e+01,2.571637186166443323e-01,2.999773570531187872e+01
9.300000000000000000e+01,9.410028590650918545e+01,2.570565003679221028e-01,2.999806995829487022e+01
9.400000000000000000e+01,9.409870519785225440e+01,2.569629561220707625e-01,2.999844433352798490e+01
9.500000000000000000e+01,9.409729763469239572e+01,2.568796870502429996e-01,2.999851087415825646e+01
9.600000000000000000e+01,9.409530149964467682e+01,2.567616453193236059e-01,2.999813938043376993e+01
9.700000000000000000e+01,9.409153176729496693e+01,2.565388695858872858e-01,2.999656075142870293e+01
9.800000000000000000e+01,9.408540744658763799e+01,2.561773593401576732e-01,2.999365127117050633e+01
9.900000000000000000e+01,9.407879847088524627e+01,2.557878120552800061e-01,2.999401954829064465e+01
1.000000000000000000e+02,9.407421864333984729e+01,2.555182146615930794e-01,2.999530686621671549e+01
1.010000000000000000e+02,9.407087243227641693e+01,2.553214153458940316e-01,2.999690368866617263e+01
