orig,opt
 (1.737588279693511311e+02+0.000000000000000000e+00j), (1.786789121492558152e+01+0.000000000000000000e+00j)
 (2.980575597470042908e+02+0.000000000000000000e+00j), (8.729132306162012966e+00+0.000000000000000000e+00j)
 (6.181206223994093989e+02+0.000000000000000000e+00j), (7.732578275696082137e+00+0.000000000000000000e+00j)
 (1.929346555931811963e+03+0.000000000000000000e+00j), (6.927923011863633462e+00+0.000000000000000000e+00j)
 (3.122470772106401273e+04+0.000000000000000000e+00j), (6.256269262193657532e+00+0.000000000000000000e+00j)
 (7.423026014264900368e+03+0.000000000000000000e+00j), (5.688174557529591446e+00+0.000000000000000000e+00j)
 (1.246486596780343689e+03+0.000000000000000000e+00j), (5.202944484018739324e+00+0.000000000000000000e+00j)
 (4.973997282169233927e+02+0.000000000000000000e+00j), (4.785052749888046186e+00+0.000000000000000000e+00j)
 (2.677447713544905810e+02+0.000000000000000000e+00j), (4.422540681416098352e+00+0.000000000000000000e+00j)
 (1.680457076473021800e+02+0.000000000000000000e+00j), (4.106042370359269000e+00+0.000000000000000000e+00j)
 (1.158406390809602868e+02+0.000000000000000000e+00j), (3.828126003645987208e+00+0.000000000000000000e+00j)
 (8.508084682294018819e+01+0.000000000000000000e+00j), (3.582828354967921403e+00+0.000000000000000000e+00j)
 (6.542983599622964164e+01+0.000000000000000000e+00j), (3.365317148612788856e+00+0.000000000000000000e+00j)
 (5.214968941532525548e+01+0.000000000000000000e+00j), (3.171641618684070352e+00+0.000000000000000000e+00j)
 (4.318343044064157965e+01+0.000000000000000000e+00j), (2.998545483012430068e+00+0.000000000000000000e+00j)
 (4.184556495362963346e+01+0.000000000000000000e+00j), (2.843324928616645320e+00+0.000000000000000000e+00j)
 (3.052721108871323352e+01+0.000000000000000000e+00j), (2.703719558478979046e+00+0.000000000000000000e+00j)
 (2.623422962217739141e+01+0.000000000000000000e+00j), (2.577827794742590939e+00+0.000000000000000000e+00j)
 (2.293650653891078761e+01+0.000000000000000000e+00j), (2.464040641029767720e+00+0.000000000000000000e+00j)
 (2.029788071660033566e+01+0.000000000000000000e+00j), (2.360989373323084006e+00+0.000000000000000000e+00j)
 (1.814662499132166573e+01+0.000000000000000000e+00j), (2.267503901158594015e+00+0.000000000000000000e+00j)
 (1.636831858049460919e+01+0.000000000000000000e+00j), (2.182579376840790619e+00+0.000000000000000000e+00j)
 (1.488145480683822974e+01+0.000000000000000000e+00j), (2.105349233820289712e+00+0.000000000000000000e+00j)
 (1.362609073597305631e+01+0.000000000000000000e+00j), (2.035063275829468665e+00+0.000000000000000000e+00j)
 (1.255717402597249155e+01+0.000000000000000000e+00j), (1.971069763146635179e+00+0.000000000000000000e+00j)
 (1.164025372259083468e+01+0.000000000000000000e+00j), (1.912800684127304196e+00+0.000000000000000000e+00j)
 (1.084859575182747982e+01+0.000000000000000000e+00j), (1.859759581705003662e+00+0.000000000000000000e+00j)
 (1.016118531310195472e+01+0.000000000000000000e+00j), (1.811511442048804099e+00+0.000000000000000000e+00j)
 (9.561312387809634217e+00+0.000000000000000000e+00j), (1.767674257485246647e+00+0.000000000000000000e+00j)
 (9.035551610015980728e+00+0.000000000000000000e+00j), (1.727911956461795295e+00+0.000000000000000000e+00j)
 (8.573014797291067524e+00+0.000000000000000000e+00j), (1.691928455771855688e+00+0.000000000000000000e+00j)
 (8.164795511845268194e+00+0.000000000000000000e+00j), (1.659462638928067335e+00+0.000000000000000000e+00j)
 (7.803551057897796461e+00+0.000000000000000000e+00j), (1.630284102743158936e+00+0.000000000000000000e+00j)
